Jan-49,112,112
Feb-49,118,118
Mar-49,132,132
Apr-49,129,129
May-49,121,121
Jun-49,135,135
Jul-49,148,148
Aug-49,148,148
Sep-49,136,136
Oct-49,119,119
Nov-49,104,104
Dec-49,118,118
Jan-50,115,115
Feb-50,126,126
Mar-50,141,141
Apr-50,135,135
May-50,125,125
Jun-50,149,149
Jul-50,170,170
Aug-50,170,170
Sep-50,158,158
Oct-50,133,133
Nov-50,114,114
Dec-50,140,140
Jan-51,145,145
Feb-51,150,150
Mar-51,178,178
Apr-51,163,163
May-51,172,172
Jun-51,178,178
Jul-51,199,199
Aug-51,199,199
Sep-51,184,184
Oct-51,162,162
Nov-51,146,146
Dec-51,166,166
Jan-52,171,171
Feb-52,180,180
Mar-52,193,193
Apr-52,181,181
May-52,183,183
Jun-52,218,218
Jul-52,230,230
Aug-52,242,242
Sep-52,209,209
Oct-52,191,191
Nov-52,172,172
Dec-52,194,194
Jan-53,196,196
Feb-53,196,196
Mar-53,236,236
Apr-53,235,235
May-53,229,229
Jun-53,243,243
Jul-53,264,264
Aug-53,272,272
Sep-53,237,237
Oct-53,211,211
Nov-53,180,180
Dec-53,201,201
Jan-54,204,204
Feb-54,188,188
Mar-54,235,235
Apr-54,227,227
May-54,234,234
Jun-54,264,264
Jul-54,302,302
Aug-54,293,293
Sep-54,259,259
Oct-54,229,229
Nov-54,203,203
Dec-54,229,229
Jan-55,242,242
Feb-55,233,233
Mar-55,267,267
Apr-55,269,269
May-55,270,270
Jun-55,315,315
Jul-55,364,364
Aug-55,347,347
Sep-55,312,312
Oct-55,274,274
Nov-55,237,237
Dec-55,278,278
Jan-56,284,284
Feb-56,277,277
Mar-56,317,317
Apr-56,313,313
May-56,318,318
Jun-56,374,374
Jul-56,413,413
Aug-56,405,405
Sep-56,355,355
Oct-56,306,306
Nov-56,271,271
Dec-56,306,306
Jan-57,315,315
Feb-57,301,301
Mar-57,356,356
Apr-57,348,348
May-57,355,355
Jun-57,422,422
Jul-57,465,465
Aug-57,467,467
Sep-57,404,404
Oct-57,347,347
Nov-57,305,305
Dec-57,336,336
Jan-58,340,340
Feb-58,318,318
Mar-58,362,362
Apr-58,348,348
May-58,363,363
Jun-58,435,435
Jul-58,491,491
Aug-58,505,505
Sep-58,404,404
Oct-58,359,359
Nov-58,310,310
Dec-58,337,337
Jan-59,360,360
Feb-59,342,342
Mar-59,406,406
Apr-59,396,396
May-59,420,420
Jun-59,472,472
Jul-59,548,548
Aug-59,559,559
Sep-59,463,463
Oct-59,407,407
Nov-59,362,362
Dec-59,405,405
Jan-60,417,417
Feb-60,391,391
Mar-60,419,419
Apr-60,461,461
May-60,472,472
Jun-60,535,535
Jul-60,622,622
Aug-60,606,606
Sep-60,508,508
Oct-60,461,461
Nov-60,390,390
Dec-60,432,432
